metric,value
case_count,60
maximum_abs_acceleration_m_per_s2,12.037939025056193
maximum_abs_displacement_m,0.016204507480986903
maximum_abs_parameter_correlation_perfect,0.985042530154121
maximum_abs_probe_force_n,1.0
maximum_abs_velocity_m_per_s,0.296682309974626
maximum_near_ideal_batch_relative_error_rms,0.3646209471351705
maximum_near_ideal_rls_relative_error_rms,0.36462094713505416
maximum_normalized_condition_number_perfect,11.522353339799144
maximum_perfect_batch_relative_error_rms,2.2335275588593345e-13
maximum_perfect_rls_relative_error_rms,6.499459330016288e-12
median_near_ideal_batch_relative_error_rms,0.004884200989517382
median_near_ideal_rls_relative_error_rms,0.004884200989907317
minimum_regression_rank_perfect,3
near_ideal_case_count,30
perfect_case_count,30
safety_event_count,0
sample_count,90060
