noise_regime,mass_error_group,trial_count,median_mass_abs_relative_error,accuracy,false_safe_rate,false_safe_fraction,false_unsafe_rate,contact_loss_accuracy,contact_loss_recall,safe_precision,safe_recall,caution_precision,caution_recall,unsafe_precision,unsafe_recall,confusion_safe_safe,confusion_safe_caution,confusion_safe_unsafe,confusion_caution_safe,confusion_caution_caution,confusion_caution_unsafe,confusion_unsafe_safe,confusion_unsafe_caution,confusion_unsafe_unsafe,brier_score,expected_calibration_error
low,below_30_percent,224,0.0790517565149971,0.8660714285714286,0.02857142857142857,0.008928571428571428,0.01948051948051948,0.9776785714285714,0.9666666666666667,0.9855072463768116,0.8831168831168831,0.4878048780487805,0.8333333333333334,0.8444444444444444,0.8260869565217391,136,15,3,0,20,4,2,6,38,nan,nan
low,30_to_60_percent,12,0.39952534740172696,0.75,0.0,0.0,0.16666666666666666,0.9166666666666666,1.0,1.0,0.6666666666666666,0.5,0.5,0.6666666666666666,1.0,4,1,1,0,1,1,0,0,4,nan,nan
low,above_60_percent,4,0.7441223259394283,0.75,0.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,2,1,0,0,0,0,0,0,1,nan,nan
low,above_30_percent,16,0.42797058881972455,0.75,0.0,0.0,0.1111111111111111,0.9375,1.0,1.0,0.6666666666666666,0.3333333333333333,0.5,0.7142857142857143,1.0,6,2,1,0,1,1,0,0,5,nan,nan
low,worst_mass_error_quartile,60,0.23830255992935326,0.8666666666666667,0.034482758620689655,0.016666666666666666,0.03225806451612903,0.95,1.0,0.9629629629629629,0.8387096774193549,0.6,0.75,0.8695652173913043,0.9523809523809523,26,4,1,0,6,2,1,0,20,nan,nan
nominal,below_30_percent,206,0.08209830977514393,0.8640776699029126,0.05,0.014563106796116505,0.02054794520547945,0.970873786407767,0.9629629629629629,0.9774436090225563,0.8904109589041096,0.48484848484848486,0.7619047619047619,0.8,0.8205128205128205,130,13,3,0,16,5,3,4,32,nan,nan
nominal,30_to_60_percent,25,0.396868075307116,0.88,0.0,0.0,0.0,1.0,1.0,1.0,0.9230769230769231,0.6,0.75,0.875,0.875,12,1,0,0,3,1,0,1,7,nan,nan
nominal,above_60_percent,9,0.7947586384571057,0.7777777777777778,0.0,0.0,0.0,0.8888888888888888,1.0,1.0,0.75,0.0,0.0,0.8,1.0,3,1,0,0,0,1,0,0,4,nan,nan
nominal,above_30_percent,34,0.45006154502713835,0.8529411764705882,0.0,0.0,0.0,0.9705882352941176,1.0,1.0,0.8823529411764706,0.5,0.6,0.8461538461538461,0.9166666666666666,15,2,0,0,3,2,0,1,11,nan,nan
nominal,worst_mass_error_quartile,60,0.3294197144869523,0.8,0.0,0.0,0.03125,0.9666666666666667,1.0,1.0,0.78125,0.2727272727272727,0.5,0.8333333333333334,0.9090909090909091,25,6,1,0,3,3,0,2,20,nan,nan
high,below_30_percent,170,0.09182581062991452,0.8705882352941177,0.08888888888888889,0.023529411764705882,0.016,0.9764705882352941,0.9411764705882353,0.9658119658119658,0.904,0.5517241379310345,0.8,0.7916666666666666,0.76,113,10,2,1,16,3,3,3,19,nan,nan
high,30_to_60_percent,38,0.41103125014767605,0.8947368421052632,0.08333333333333333,0.02631578947368421,0.0,0.9736842105263158,1.0,0.9615384615384616,0.9615384615384616,0.0,0.0,0.9,0.8181818181818182,25,1,0,0,0,1,1,1,9,nan,nan
high,above_60_percent,32,0.7874299029567722,0.84375,0.0,0.0,0.08333333333333333,0.9375,1.0,1.0,0.75,0.6,0.6,0.8333333333333334,1.0,9,2,1,0,3,2,0,0,15,nan,nan
high,above_30_percent,70,0.5504957275131985,0.8714285714285714,0.03125,0.014285714285714285,0.02631578947368421,0.9571428571428572,1.0,0.9714285714285714,0.8947368421052632,0.42857142857142855,0.5,0.8571428571428571,0.9230769230769231,34,3,1,0,3,3,1,1,24,nan,nan
high,worst_mass_error_quartile,60,0.6215278449480861,0.8666666666666667,0.03333333333333333,0.016666666666666666,0.03333333333333333,0.95,1.0,0.9629629629629629,0.8666666666666667,0.5,0.5,0.8518518518518519,0.9583333333333334,26,3,1,0,3,3,1,0,23,nan,nan
