case_id,scenario,target,probe,random_seed,true_stiffness_n_per_m,true_damping_n_s_per_m,true_effective_mass_kg,batch_stiffness_n_per_m,batch_damping_n_s_per_m,batch_effective_mass_kg,batch_stiffness_relative_error,batch_damping_relative_error,batch_effective_mass_relative_error,batch_relative_error_rms,batch_force_rmse_n,rls_stiffness_n_per_m,rls_damping_n_s_per_m,rls_effective_mass_kg,rls_stiffness_relative_error,rls_damping_relative_error,rls_effective_mass_relative_error,rls_relative_error_rms,regression_rank,normalized_condition_number,normalized_min_singular_value,parameter_correlation_k_c,parameter_correlation_k_m,parameter_correlation_c_m,maximum_abs_parameter_correlation,peak_abs_probe_force_n,peak_abs_displacement_m,peak_abs_velocity_m_per_s,peak_abs_acceleration_m_per_s2
perfect__rigid_high_stiffness__ramp,perfect,rigid_high_stiffness,ramp,1101,2000.0,20.0,1.0,1999.999999999998,19.999999999999517,0.999999999999801,-1.0231815394945442e-15,-2.4158453015843406e-14,-1.9895196601282805e-13,1.1571021639272102e-13,1.2134887809065956e-15,1999.9999999998645,20.000000000049745,0.9999999999987914,-6.775735528208315e-14,2.4872548465282308e-12,-1.2085887846069454e-12,1.5970508842916985e-12,3,1.3267868031348835,0.8511930286295462,-0.26785945410018636,0.06922642441728721,-0.01861500088193667,0.26785945410018636,1.0,0.0005098636286815101,0.0009909298116196692,0.0218807770585408
perfect__rigid_high_stiffness__half_sine,perfect,rigid_high_stiffness,half_sine,1102,2000.0,20.0,1.0,1999.9999999999993,19.999999999999982,1.000000000000007,-3.410605131648481e-16,-8.881784197001252e-16,7.105427357601002e-15,4.1389322742709876e-15,1.6166598529789518e-16,1999.9999999998547,19.99999999999863,0.9999999999992011,-7.264588930411264e-14,-6.856737400084967e-14,-7.989164885202626e-13,4.648463780790756e-13,3,1.2693656989402302,0.875160091665641,-2.23444741521916e-05,0.23409479655294968,-9.550670244933403e-05,0.23409479655294968,1.0,0.0005021909328122982,0.0023150474635711318,0.05175673613062836
perfect__rigid_high_stiffness__sinusoid,perfect,rigid_high_stiffness,sinusoid,1103,2000.0,20.0,1.0,2000.0000000000002,20.000000000000014,1.0000000000000142,1.1368683772161603e-16,7.105427357601002e-16,1.4210854715202004e-14,8.215152411103757e-15,8.673350457765007e-16,1999.9999999990418,20.000000000000377,0.9999999999948816,-4.7907633415889e-13,1.8829382497642654e-14,-5.118350188126897e-12,2.9680171454971414e-12,3,4.950441137593598,0.2800168772336941,-0.057447864748304024,0.9215433455643671,-0.062171793850021216,0.9215433455643671,0.9999210442038162,0.0005759098882721776,0.008293724657040326,0.19918395375686934
perfect__rigid_high_stiffness__chirp,perfect,rigid_high_stiffness,chirp,1104,2000.0,20.0,1.0,2000.0000000000055,20.000000000000025,1.0,2.7284841053187848e-15,1.2434497875801752e-15,0.0,1.731164626025924e-15,3.02177157375523e-15,1999.9999999990757,19.99999999999876,0.9999999999994879,-4.621369953383692e-13,-6.199485369506874e-14,-5.121458812595847e-13,3.9987805142576715e-13,3,3.6797966981352297,0.37086693729454134,-0.007947611994764466,0.8624555479099834,-0.008063216723722764,0.8624555479099837,1.0,0.0011110710656813696,0.050209274082508665,2.38749180150072
perfect__rigid_high_stiffness__multisine,perfect,rigid_high_stiffness,multisine,1105,2000.0,20.0,1.0,1999.9999999999907,20.000000000000018,0.9999999999999964,-4.6611603465862574e-15,8.881784197001252e-16,-3.552713678800501e-15,3.4223311336643685e-15,1.4416565693565903e-15,1999.9999999995043,19.999999999998835,0.9999999999997147,-2.4783730623312296e-13,-5.826450433232821e-14,-2.8532731732866523e-13,2.207787435721983e-13,3,2.638410402951251,0.5012144348666755,-0.009652425389806298,0.7487657915651603,-0.012101303177097301,0.7487657915651607,0.9088358012080359,0.0006006592699266698,0.015872273815666853,0.6739822737428437
perfect__compliant__ramp,perfect,compliant,ramp,1201,100.0,5.0,1.0,100.00000000000003,4.999999999999991,0.9999999999999805,2.842170943040401e-16,-1.7763568394002505e-15,-1.9539925233402755e-14,1.1329090888865831e-14,7.213424311317299e-16,99.99999999999318,5.0000000000020375,0.9999999999995733,-6.821210263296962e-14,4.0749625895841747e-13,-4.2665870836344766e-13,3.429012226249623e-13,3,1.378593694378074,0.83037861498845,-0.25991729710004663,0.1819062255830984,-0.04728869171341129,0.25991729710004663,1.0,0.010741747288755892,0.019257859665778868,0.09487073205868338
perfect__compliant__half_sine,perfect,compliant,half_sine,1202,100.0,5.0,1.0,100.00000000000001,5.000000000000008,1.0000000000000018,1.4210854715202004e-16,1.5987211554602255e-15,1.7763568394002505e-15,1.3822141407868975e-15,1.9289212017927015e-16,99.99999999998845,4.999999999999669,0.9999999999996205,-1.155342488345923e-13,-6.625811010962934e-14,-3.794742298168785e-13,2.321917245899649e-13,3,1.933386798873454,0.6497079476582774,-1.0841304803506621e-05,0.5778795826146358,-1.875595694412442e-05,0.5778795826146358,1.0,0.011837083203577797,0.03919971314070859,0.22067941206897732
perfect__compliant__sinusoid,perfect,compliant,sinusoid,1203,100.0,5.0,1.0,100.00000000000009,5.000000000000002,1.0,8.526512829121202e-16,3.552713678800501e-16,0.0,5.333016516903751e-16,7.296862556557984e-16,99.99999999944465,5.000000000000914,0.9999999999963186,-5.553459914153791e-12,1.8278711877428578e-13,-3.6813885273545566e-12,3.8482441727035545e-12,3,11.522353339799144,0.12226503981119748,-0.15781708071542333,0.9850425301541204,-0.15761330039604185,0.985042530154121,0.9999210442038162,0.013434577288119871,0.16030969191720595,1.948785560721951
perfect__compliant__chirp,perfect,compliant,chirp,1204,100.0,5.0,1.0,99.99999999999991,5.0000000000000036,1.0,-8.526512829121202e-16,7.105427357601002e-16,0.0,6.408029311192671e-16,4.30453150426585e-16,99.99999999997667,4.999999999999669,0.9999999999998536,-2.3334223442361693e-13,-6.625811010962934e-14,-1.4643841694805815e-13,1.6358784131607427e-13,3,2.0681584154506285,0.6156160862605109,-0.00012154015212906689,0.621016828952807,-0.0001183581145138446,0.621016828952807,1.0,0.01388841991801081,0.15218907429031361,2.0253452212885024
perfect__compliant__multisine,perfect,compliant,multisine,1205,100.0,5.0,1.0,99.99999999999997,5.0,1.0,-2.842170943040401e-16,0.0,0.0,1.640928159047308e-16,1.1553512950866217e-16,99.99999999997755,4.999999999999777,0.9999999999997884,-2.2453150450019167e-13,-4.458655666894629e-14,-2.1160850849355484e-13,1.7998196059196194e-13,3,2.365016526371556,0.550643379132185,-0.040756416831956466,0.6963833629216815,-0.046051735326162795,0.6963833629216815,0.9088358012080359,0.006976092364378182,0.06780939837087019,0.9938424909266527
perfect__lightly_damped_flexible__ramp,perfect,lightly_damped_flexible,ramp,1301,300.0,0.5,1.0,300.0000000000003,0.5000000000001934,0.9999999999999934,9.473903143468002e-16,3.8680170177940454e-13,-6.5503158452884236e-15,2.2335275588593345e-13,1.1455159352455314e-15,299.99999999998084,0.5000000000053823,0.9999999999997587,-6.385410718697433e-14,1.0764500402160593e-11,-2.412514632510465e-13,6.216557153377877e-12,3,1.270649190589269,0.8743383024258073,-0.22385674778428644,0.07590043665201839,-0.01905404784843435,0.22385674778428644,1.0,0.0034368605174839324,0.008691606312854023,0.0752696446606711
perfect__lightly_damped_flexible__half_sine,perfect,lightly_damped_flexible,half_sine,1302,300.0,0.5,1.0,300.0,0.4999999999999951,0.9999999999999993,0.0,-9.769962616701378e-15,-6.661338147750939e-16,5.653786453664755e-15,1.0282426146543446e-16,299.9999999999714,0.4999999999999928,0.9999999999998046,-9.530746562328811e-14,-1.4432899320127035e-14,-1.9539925233402755e-13,1.2579439494537125e-13,3,1.5012158270637441,0.7840170585066407,-0.00424589347795552,0.385239130962723,-0.00873445688959647,0.385239130962723,1.0,0.003730369862153773,0.01954681786328133,0.23466589069617938
