contact_mode,target,probe,sensing_regime,pipeline,severity,trial_count,stiffness_bias,stiffness_rmse,stiffness_relative_bias,stiffness_relative_rmse,stiffness_p95_abs_relative_error,stiffness_worst_abs_relative_error,stiffness_eiv_relative_bias,stiffness_eiv_relative_rmse,damping_bias,damping_rmse,damping_relative_bias,damping_relative_rmse,damping_p95_abs_relative_error,damping_worst_abs_relative_error,damping_eiv_relative_bias,damping_eiv_relative_rmse,effective_mass_bias,effective_mass_rmse,effective_mass_relative_bias,effective_mass_relative_rmse,effective_mass_p95_abs_relative_error,effective_mass_worst_abs_relative_error,effective_mass_eiv_relative_bias,effective_mass_eiv_relative_rmse,parameter_error_median,parameter_error_p95,parameter_error_worst,rank_minimum,rank_deficient_fraction,normalized_singular_value_1_median,normalized_singular_value_2_median,normalized_singular_value_3_median,condition_number_median,condition_number_p95,parameter_correlation_median,parameter_correlation_p95,rls_convergence_fraction,rls_convergence_time_median_s,rls_convergence_time_p95_s,ratio_estimate_valid_fraction,natural_frequency_relative_bias,natural_frequency_relative_rmse,natural_frequency_p95_abs_relative_error,damping_ratio_relative_bias,damping_ratio_relative_rmse,damping_ratio_p95_abs_relative_error,peak_force_n,absolute_impulse_n_s,absolute_input_energy_j,peak_target_displacement_m,rms_target_displacement_m,peak_target_velocity_m_per_s,peak_target_acceleration_m_per_s2,normalized_information_score,information_per_peak_displacement,information_per_input_energy,estimation_error_per_peak_displacement,estimation_error_per_input_energy,filter_delay_s,maximum_peak_force_n,maximum_peak_target_displacement_m
bilateral,rigid_high_stiffness,ramp,optimistic_reference,direct,mild,10,2.0355834257232575,2.3224626664464894,0.0010177917128616285,0.0011612313332232448,0.001749485491031953,0.001769478609472685,0.0011295284493968323,0.00120156747405534,-14.656496753543584,14.67541021529556,-0.7328248376771793,0.7337705107647781,0.786979319861482,0.7962303423141133,-0.4709055634602978,0.4766576382278943,-0.9659816362138918,0.9660728698570685,-0.9659816362138918,0.9660728698570685,0.9826470238612556,0.9846875315136678,-0.8880836116809897,0.8896923278119714,0.7040064944187985,0.7190758849608841,0.7269509526629161,3,0.0,1.0793355103611204,0.9998675786091435,0.9205260998268646,1.1756394642597434,1.2314752458211606,0.14834436130297868,0.20353134179362212,0.0,-1.0,-1.0,1.0,-0.7147274556659151,0.7172709213945826,0.7970610682167092,-0.8630505861098186,0.884256165224181,1.12911355931901,1.0,2.625,0.00029546425246932784,0.0005098636286815101,0.00045557282244075554,0.0009909298116196692,0.0218807770585408,0.9955767641788624,19.52633426222988,33.69533728220517,13.80774102752407,23.827129290095137,0.0,1.0,0.0005098636286815101
bilateral,rigid_high_stiffness,ramp,no_direct_velocity,finite_difference,mild,10,2.621790625647532,2.8231827018427844,0.0013108953128237659,0.0014115913509213922,0.0020083752281890837,0.0020962817424539253,0.0014226320493589697,0.0014704421282489158,-17.82152602232569,17.825976831891424,-0.8910763011162846,0.8912988415945713,0.9240691743587606,0.9281044214041116,-0.6291570268994031,0.6314725733182319,-0.9672465681841868,0.9673952906650691,-0.9672465681841868,0.9673952906650691,0.9846444518858993,0.9848723661091467,-0.8893485436512847,0.8911217315741243,0.7587568986938829,0.7767203609217933,0.7787544817942591,3,0.0,1.0508637499579048,1.0015737929845387,0.9455410464760843,1.1109486612995554,1.128718856040563,0.10138174033322732,0.10470786941965887,0.0,-1.0,-1.0,1.0,-0.7282662085560522,0.7318724486692054,0.810512036406177,-0.985006174482033,0.9931026351307986,1.144049946813672,1.0,2.625,0.00029546425246932784,0.0005098636286815101,0.00045557282244075554,0.0009909298116196692,0.0218807770585408,0.9981590146208308,19.57698016628556,33.78273365656814,14.88156550126947,25.680159015942188,0.0,1.0,0.0005098636286815101
bilateral,rigid_high_stiffness,ramp,no_direct_velocity,low_pass,mild,10,0.5732432262464954,1.2661285035864454,0.00028662161312324773,0.0006330642517932227,0.0010993928746842127,0.0012508417063813795,0.0006941650907035182,0.0008090026066242379,-6.141259233292304,6.406250083610271,-0.3070629616646153,0.32031250418051355,0.4411608174886465,0.48469700404681665,1.4503038059433888,1.4514787458518366,-0.8365069214718475,0.8373310945871836,-0.8365069214718475,0.8373310945871836,0.8980769279974962,0.9129529845004161,-0.6891381894933224,0.691899240789929,0.5132710302504772,0.5570230339921858,0.563388216114915,3,0.0,1.116751711683743,1.0005522510468063,0.8687193575880278,1.291828643109095,1.3747809056505111,0.24014582343269508,0.26075102030144837,0.0,-1.0,-1.0,1.0,-0.4703421836260116,0.47701481243023064,0.5864591663214026,-0.6741827921707279,0.6979478888591921,0.9648310992432637,1.0,2.625,0.00029546425246932784,0.0005098636286815101,0.00045557282244075554,0.0009909298116196692,0.0218807770585408,0.9892448336858564,19.40214555495966,33.48103282946386,10.066829665371081,17.371679516585846,0.015915494309189534,1.0,0.0005098636286815101
bilateral,rigid_high_stiffness,ramp,no_direct_velocity,savitzky_golay,mild,10,-0.03863478777507225,1.2623518052423797,-1.931739388753611e-05,0.0006311759026211899,0.0010850849866129008,0.0012264312588047234,8.521845463463933e-05,0.00047239777844857816,-2.8337013947284344,3.425016962620653,-0.14168506973642173,0.1712508481310326,0.2706913219061497,0.3207116606565436,0.12581089140102095,0.14406943052284318,-0.7167633674110079,0.7209994898107773,-0.7167633674110079,0.7209994898107773,0.8292796330196169,0.8427968032559399,-0.6299774055917137,0.6362703143196865,0.4299667536551926,0.4803505758664088,0.4886822872754271,3,0.0,1.128791987354596,0.9992016004335115,0.8524832610440437,1.3331617956845947,1.4390908295543339,0.2637605929874819,0.2948588425046234,0.0,-1.0,-1.0,1.0,-0.2947351316745975,0.3059821613832844,0.4090067410937621,-0.44448451208615475,0.4759746101219774,0.7110033866699353,1.0,2.625,0.00029546425246932784,0.0005098636286815101,0.00045557282244075554,0.0009909298116196692,0.0218807770585408,0.9864859061924759,19.348034468422362,33.38765681289594,8.43297559323994,14.552242786115977,0.06,1.0,0.0005098636286815101
bilateral,rigid_high_stiffness,ramp,no_direct_acceleration,finite_difference,mild,10,2.7272492850729577,2.8943724294503563,0.001363624642536479,0.0014471862147251782,0.00196976003511686,0.0020385647043179916,0.0014753613790716828,0.0015159068732506522,-17.83154240004199,17.83558618562293,-0.8915771200020993,0.8917793092811465,0.9218671236589031,0.9276293450383104,-0.629657845785218,0.6318995891045511,-0.9611747725635521,0.9611795876245836,-0.9611747725635521,0.9611795876245836,0.9655458741725403,0.9659615979271701,-0.88327674803065,0.8844916587755565,0.7558575818063218,0.7674025067949923,0.7691274812258354,3,0.0,1.050596597541055,0.9993694497048609,0.9474991383452132,1.1083064461319574,1.1147789433044228,0.10137888693075445,0.10345333180043138,0.0,-1.0,-1.0,1.0,2.0111412471239323,2.0145025764923483,2.192250909682873,-0.6747983469086316,0.6799008672840768,0.8170314791396561,1.0,2.625,0.00029546425246932784,0.0005098636286815101,0.00045557282244075554,0.0009909298116196692,0.0218807770585408,0.9982421899216252,19.57861149074401,33.78554872810722,14.824700945249688,25.582031514448182,0.0,1.0,0.0005098636286815101
bilateral,rigid_high_stiffness,ramp,no_direct_acceleration,low_pass,mild,10,0.5251981198646718,1.1688710920717786,0.00026259905993233587,0.0005844355460358894,0.0009349458670917499,0.0009375785707043178,0.0006701425375126065,0.0007777321422113159,-6.055099950252755,6.321651400578231,-0.3027549975126377,0.31608257002891155,0.44207813826080855,0.49028861660524015,1.454611770095366,1.4558611184287404,-0.9405981957990459,0.9406108647414462,-0.9405981957990459,0.9406108647414462,0.9474888175784605,0.9482833775658905,-0.793229463820521,0.7943563810636463,0.5678934767221249,0.5998637126723789,0.6089683963201373,3,0.0,1.1142723984826013,1.0000038919147025,0.8712408812434743,1.278632628110934,1.2844041643659938,0.24073822106126294,0.24519086417237435,0.0,-1.0,-1.0,1.0,0.5425409786167961,0.5547043606843778,0.712482400497306,0.0689765838636353,0.11822802471795917,0.2091024345142223,1.0,2.625,0.00029546425246932784,0.0005098636286815101,0.00045557282244075554,0.0009909298116196692,0.0218807770585408,0.9900800715812592,19.41852714894711,33.509301491016735,11.138144491511937,19.220378505216225,0.015915494309189534,1.0,0.0005098636286815101
bilateral,rigid_high_stiffness,ramp,no_direct_acceleration,savitzky_golay,mild,10,0.25750796499760326,1.115363944787601,0.00012875398249880161,0.0005576819723938004,0.0008120558667543206,0.0008866666140934285,0.00023328983102097704,0.00046333309146010226,-2.7774253161309614,3.32142700347821,-0.13887126580654804,0.1660713501739105,0.2777857550503827,0.3258901790286469,0.12862469533089463,0.14719035286601734,-0.22306231573088947,0.2714522767051933,-0.22306231573088947,0.2714522767051933,0.38295889497332286,0.3949849362372846,-0.13627635391159534,0.20657036603209716,0.1914689917980241,0.2619959782772906,0.2744628346767354,3,0.0,1.1271593067841077,0.9998681830080605,0.8542199975853173,1.3200145212989183,1.3311005622434664,0.26373208928293035,0.2677266406872853,0.3,0.78,0.8556,1.0,-0.17753998037278987,0.18288022919694513,0.24004431651344912,-0.29828393345841453,0.31016580325761367,0.4202315538380168,1.0,2.625,0.00029546425246932784,0.0005098636286815101,0.00045557282244075554,0.0009909298116196692,0.0218807770585408,0.9873887634297926,19.365742286484455,33.418214053908045,3.7552981037921134,6.480276046859526,0.06,1.0,0.0005098636286815101
bilateral,rigid_high_stiffness,ramp,imu_like,finite_difference,mild,10,1.0120463759971927,3.7810250089763695,0.0005060231879985962,0.001890512504488185,0.003339182879841155,0.003542837331265105,0.0005103362090012638,0.0017992692147985958,-12.698851421868763,12.888168527001035,-0.6349425710934382,0.6444084263500517,0.8170396701411027,0.8312410947805879,-0.36396069922654395,0.38314620134288385,-0.9860156811010995,0.986315402645161,-0.9860156811010995,0.986315402645161,1.025312702484051,1.0259004914860803,-0.9181457404330015,0.9194776718230403,0.6691791700313601,0.750293404646651,0.761743616572896,3,0.0,1.1611218960637841,0.9947374395664963,0.8078209482623283,1.4425997165605549,2.1002777341249685,0.3394676368894905,0.5906857455824062,0.0,-1.0,-1.0,0.8,-0.7483795344757087,0.7546830846904443,0.8719975403464929,-1.548879227683897,1.5792648243851395,2.006917472509339,1.0,2.625,0.00029546425246932784,0.0005098636286815101,0.00045557282244075554,0.0009909298116196692,0.0218807770585408,0.977908291760676,19.179800965397618,33.09734709318829,13.124669664353869,22.64839703750042,0.0,1.0,0.0005098636286815101
bilateral,rigid_high_stiffness,ramp,imu_like,low_pass,mild,10,1.029796976265652,3.9508700021582395,0.0005148984881328259,0.0019754350010791196,0.0033385033098205998,0.0036856587286906686,0.0008250334126100482,0.0019894609484674914,-11.945536306238235,12.134277988624769,-0.5972768153119119,0.6067138994312385,0.7462462253155112,0.7853928782366699,1.1675582209495425,1.1728390138437008,-0.9396691713232688,0.9462192784388739,-0.9396691713232688,0.9462192784388739,1.1050230017202298,1.1497941893175012,-0.8056300290084952,0.8144036692114848,0.6301535241845139,0.7564438552022659,0.7571839493504745,3,0.0,1.1886502197494764,0.9789702568533047,0.7761776193388603,1.535388258131463,2.2802487423358073,0.34481179550562535,0.5927021600766256,0.0,-1.0,-1.0,0.7,-0.7211905663647707,0.7334842910340679,0.9111669940394016,-1.601094965008596,1.6908053919098733,2.471011018079008,1.0,2.625,0.00029546425246932784,0.0005098636286815101,0.00045557282244075554,0.0009909298116196692,0.0218807770585408,0.9704470827657448,19.033463619973986,32.84482216225081,12.359256254737552,21.32757241927025,0.015915494309189534,1.0,0.0005098636286815101
bilateral,rigid_high_stiffness,ramp,imu_like,savitzky_golay,mild,10,1.476978647029273,3.7051863571843864,0.0007384893235146365,0.0018525931785921932,0.0032089237315298296,0.0035313026584279897,0.0007336238402582355,0.0017771350567928979,-14.26137806607214,14.414607969740501,-0.713068903303607,0.7207303984870251,0.8478464290087082,0.8742926672859745,-0.4363122001745463,0.4506300365654778,-0.8281020358746846,0.8437786248226006,-0.8281020358746846,0.8437786248226006,1.0669840660349275,1.068973417651749,-0.7526430399089538,0.7698013931126679,0.6297317363693796,0.7869276730922766,0.7973062663979361,3,0.0,1.1890597010027173,0.975664166645294,0.7760297327962478,1.5368174608302765,2.361073305717619,0.35774429343560155,0.6015486244807776,0.0,-1.0,-1.0,0.8,-0.6534831519393974,0.6610727501603728,0.7817182737297085,-1.2759310907683867,1.2881810834087668,1.5001995815116371,1.0,2.625,0.00029546425246932784,0.0005098636286815101,0.00045557282244075554,0.0009909298116196692,0.0218807770585408,0.9703306593459403,19.031180197245725,32.84088180673127,12.350983693381785,21.31329699300094,0.06,1.0,0.0005098636286815101
