observation_duration_s,noise_regime,trial_count,accuracy,false_safe_rate,false_safe_fraction,false_safe_count,false_unsafe_rate,safe_precision,safe_recall,caution_precision,caution_recall,unsafe_precision,unsafe_recall,confusion_safe_safe,confusion_safe_caution,confusion_safe_unsafe,confusion_caution_safe,confusion_caution_caution,confusion_caution_unsafe,confusion_unsafe_safe,confusion_unsafe_caution,confusion_unsafe_unsafe,settling_median_absolute_error_s,settling_p95_absolute_error_s,peak_displacement_median_abs_relative_error,peak_displacement_p95_abs_relative_error,median_decision_margin,decision_change_probability,median_probe_force_squared_dose_n2_s
0.0,low,240,0.8791666666666667,0.012195121951219513,0.004166666666666667,1,0.012658227848101266,0.9931506849315068,0.9177215189873418,0.6052631578947368,0.6764705882352942,0.7678571428571429,0.8958333333333334,145,11,2,0,23,11,1,4,43,0.0707134319818875,0.9741129984090171,0.04645120871844691,0.16409271156536784,0.561589111839137,0.0,0.2061243370333079
0.0,nominal,240,0.8916666666666667,0.024390243902439025,0.008333333333333333,2,0.012658227848101266,0.9864864864864865,0.9240506329113924,0.6578947368421053,0.7352941176470589,0.7962962962962963,0.8958333333333334,146,10,2,0,25,9,2,3,43,0.07927826787710668,0.9394175435350842,0.04816535533468906,0.16618433967587715,0.5787847199638992,0.0,0.2061243370333079
0.0,high,240,0.8791666666666667,0.036585365853658534,0.0125,3,0.0189873417721519,0.9797297297297297,0.9177215189873418,0.6571428571428571,0.6764705882352942,0.7543859649122807,0.8958333333333334,145,10,3,0,23,11,3,2,43,0.0571468213567493,0.991631569775667,0.0471422602357075,0.19153614967933466,0.5553817711877271,0.0,0.2061243370333079
0.25,low,240,0.8791666666666667,0.024390243902439025,0.008333333333333333,2,0.0189873417721519,0.9863013698630136,0.9113924050632911,0.631578947368421,0.7058823529411765,0.7678571428571429,0.8958333333333334,144,11,3,0,24,10,2,3,43,0.06771224628023081,1.064919191240098,0.039631166244680785,0.16755955265954692,0.6120659181912844,0.03333333333333333,0.2061243370333079
0.25,nominal,240,0.8791666666666667,0.024390243902439025,0.008333333333333333,2,0.0189873417721519,0.9863013698630136,0.9113924050632911,0.631578947368421,0.7058823529411765,0.7678571428571429,0.8958333333333334,144,11,3,0,24,10,2,3,43,0.060586328110201204,0.9616204837351184,0.04640721278388314,0.17424123271521536,0.5906722911939963,0.0125,0.2061243370333079
0.25,high,240,0.9041666666666667,0.036585365853658534,0.0125,3,0.02531645569620253,0.9801324503311258,0.9367088607594937,0.7647058823529411,0.7647058823529411,0.7818181818181819,0.8958333333333334,148,6,4,0,26,8,3,2,43,0.0734069206571028,1.0078711057149552,0.048127711585791995,0.19943987552648124,0.5613220078005214,0.05,0.2061243370333079
0.5,low,240,0.8291666666666667,0.0,0.0,0,0.012658227848101266,1.0,0.8417721518987342,0.45098039215686275,0.6764705882352942,0.7678571428571429,0.8958333333333334,133,23,2,0,23,11,0,5,43,0.07137106567493505,0.8007769301664152,0.04419878746934735,0.16757257978978699,0.6101068149775589,0.07083333333333333,0.2061243370333079
0.5,nominal,240,0.8333333333333334,0.0,0.0,0,0.012658227848101266,1.0,0.8291139240506329,0.46296296296296297,0.7352941176470589,0.8,0.9166666666666666,131,25,2,0,25,9,0,4,44,0.05708782672436585,0.7779415485400937,0.0406860439215519,0.16189132434991305,0.6092991581083054,0.09166666666666666,0.2061243370333079
0.5,high,240,0.8291666666666667,0.0,0.0,0,0.006329113924050633,1.0,0.8417721518987342,0.4423076923076923,0.6764705882352942,0.7818181818181819,0.8958333333333334,133,24,1,0,23,11,0,5,43,0.0763587620494518,0.8316189538525603,0.050137626253806675,0.1839014220980597,0.6067477392160293,0.07916666666666666,0.2061243370333079
1.0,low,240,0.8166666666666667,0.0,0.0,0,0.0,1.0,0.8291139240506329,0.4074074074074074,0.6470588235294118,0.7818181818181819,0.8958333333333334,131,27,0,0,22,12,0,5,43,0.06919114003713908,1.0002770813587196,0.039914360120114276,0.18756459570238196,0.5705677231933782,0.08333333333333333,0.2061243370333079
