feature,feature_group,standardized_settling_coefficient,absolute_standardized_settling_coefficient
probe_rms_displacement_log,chirp,3.0531910303979433,3.0531910303979433
probe_rms_gain_log,chirp,-2.374468208337343,2.374468208337343
rd_threshold_dwell_fraction,ringdown,-1.6328212014184953,1.6328212014184953
rd_time_to_threshold_fraction,ringdown,-1.5903777836700324,1.5903777836700324
probe_peak_displacement_log,chirp,-0.6500151501129963,0.6500151501129963
fr_peak_gain_log,chirp,0.37373280249036406,0.37373280249036406
fr_centroid_hz,chirp,-0.32065755653393707,0.32065755653393707
probe_absolute_work_log,chirp,-0.31992335709655845,0.31992335709655845
rd_residual_peak_log,ringdown,0.21068444435294525,0.21068444435294525
rd_residual_rms_log,ringdown,-0.1837089721461153,0.1837089721461153
probe_velocity_zero_crossing_log,chirp,-0.1704808685429724,0.1704808685429724
probe_peak_velocity_log,chirp,0.1214469942671635,0.1214469942671635
probe_free_displacement_rms_log,chirp,-0.09789350588828909,0.09789350588828909
rd_decay_time_constant_log,ringdown,-0.09606003285374057,0.09606003285374057
fr_high_gain_log,chirp,-0.09544273977754131,0.09544273977754131
rd_displacement_ratio_log,ringdown,0.09374584474117449,0.09374584474117449
rd_velocity_ratio_log,ringdown,-0.09282878392112284,0.09282878392112284
probe_peak_gain_log,chirp,-0.07783187513293635,0.07783187513293635
rd_decay_fit_r2,ringdown,-0.0691205978761105,0.0691205978761105
probe_rms_acceleration_log,chirp,0.06778045697283597,0.06778045697283597
estimated_stiffness_signed_log,chirp,0.06487920778128463,0.06487920778128463
fr_low_gain_log,chirp,-0.05561239707445275,0.05561239707445275
probe_rms_velocity_log,chirp,0.05518695205792182,0.05518695205792182
rd_zero_crossing_rate_log,ringdown,-0.05322180091075946,0.05322180091075946
rd_energy_decay_rate_log,ringdown,-0.04035631150143153,0.04035631150143153
rd_decay_rate_log,ringdown,-0.0382343717443672,0.0382343717443672
fr_mid_gain_log,chirp,0.03745463947963441,0.03745463947963441
probe_persistence_ratio_log,chirp,0.03738408519160099,0.03738408519160099
rd_energy_ratio_log,ringdown,-0.03365219872414923,0.03365219872414923
rd_dominant_frequency_hz,ringdown,-0.0314063345598855,0.0314063345598855
fr_peak_frequency_hz,chirp,0.029364057177382916,0.029364057177382916
rd_damping_ratio,ringdown,-0.023522491046803404,0.023522491046803404
rd_log_decrement_log,ringdown,0.02209976594645844,0.02209976594645844
fr_high_low_log_ratio,chirp,-0.02157232365050471,0.02157232365050471
probe_dominant_frequency_hz,chirp,0.01882591124072288,0.01882591124072288
rd_peak_count_log,ringdown,0.01797595851062354,0.01797595851062354
fr_peak_phase_cos,chirp,0.01543945563881758,0.01543945563881758
rd_threshold_reached,ringdown,-0.014873506320296674,0.014873506320296674
probe_peak_acceleration_log,chirp,0.014740762079158112,0.014740762079158112
probe_final_displacement_signed_log,chirp,0.011944276150991168,0.011944276150991168
fr_peak_phase_sin,chirp,0.010689239946617598,0.010689239946617598
rd_observation_duration_s,ringdown,0.0,0.0
rd_valid,ringdown,0.0,0.0
