noise_regime,outcome,trial_count,median_absolute_error,p95_absolute_error,median_abs_relative_error,p95_abs_relative_error,upper_bound_coverage
low,peak_displacement_m,1360,0.0002565682566924724,0.002421823571723561,0.04569611341628113,0.16155912167525227,0.9764705882352941
low,peak_velocity_m_per_s,1360,0.0007354235021933969,0.00487802586215653,0.03659662118202199,0.12241096290348775,0.9786764705882353
low,late_hold_oscillation_rms_m,1360,4.730515674460999e-07,0.0015529246959445748,0.7410838488248725,5.693588173717442,0.9588235294117647
low,hold_settling_time_s,1360,0.08574303928215046,1.1869165733259095,0.41808101879388304,201471216.81339642,0.913235294117647
nominal,peak_displacement_m,1360,0.00020704354503621285,0.002323474266114196,0.041292935594179556,0.15712207636588368,0.9720588235294118
nominal,peak_velocity_m_per_s,1360,0.0005755397714680126,0.0049689704269338785,0.031624496258998186,0.11688069497513337,0.9713235294117647
nominal,late_hold_oscillation_rms_m,1360,4.5007734941574694e-07,0.0016042283268476118,0.8091538747921984,7.083917129408729,0.9588235294117647
nominal,hold_settling_time_s,1360,0.08168385166072108,1.1965100054880462,0.37000819132509544,189046765.03706154,0.9117647058823529
high,peak_displacement_m,1360,0.00023669565119414156,0.0024775655582420114,0.0456712115790624,0.1676665736842517,0.9639705882352941
high,peak_velocity_m_per_s,1360,0.000686308461843723,0.005257962145632083,0.0387819222635032,0.1271913573046149,0.9566176470588236
high,late_hold_oscillation_rms_m,1360,4.510800341603822e-07,0.0012185891739087246,0.8597385364073176,9.415340150393273,0.9323529411764706
high,hold_settling_time_s,1360,0.10198536170833969,1.1787490906042024,0.3857699849709483,200773376.10863495,0.9117647058823529
