target_id,source_seed,source_case_index,selected_group,selection_rank,true_severity_ratio,absolute_log_distance_to_safe_boundary,actual_risk_class
boundary_s10282_c01,10282,1,SAFE,0,0.9980275811415616,0.0019743666381613124,SAFE
boundary_s10267_c10,10267,10,SAFE,1,0.9963809391554793,0.0036256254885689786,SAFE
boundary_s10246_c08,10246,8,SAFE,2,0.9939746091772326,0.006043616739109946,SAFE
boundary_s10283_c09,10283,9,SAFE,3,0.991393145664581,0.008644107213611698,SAFE
boundary_s10214_c00,10214,0,SAFE,4,0.9880778633101878,0.011993775321128112,SAFE
boundary_s10205_c10,10205,10,SAFE,5,0.9787754913950897,0.0214529871681733,SAFE
boundary_s10266_c06,10266,6,SAFE,6,0.9781354687773911,0.02210710240749163,SAFE
boundary_s10206_c05,10206,5,SAFE,7,0.9719932388771131,0.028406430433634014,SAFE
boundary_s10260_c03,10260,3,SAFE,8,0.9710000000000001,0.029428810690812053,SAFE
boundary_s10238_c04,10238,4,SAFE,9,0.9662096292836995,0.03437446077228781,SAFE
boundary_s10298_c04,10298,4,SAFE,10,0.9629955538192122,0.03770648420483378,SAFE
boundary_s10222_c07,10222,7,SAFE,11,0.9609200340770518,0.03986408463219967,SAFE
boundary_s10275_c05,10275,5,SAFE,12,0.953526853622729,0.04758769112614782,SAFE
boundary_s10208_c01,10208,1,SAFE,13,0.9517427192758801,0.04946053357712762,SAFE
boundary_s10292_c09,10292,9,SAFE,14,0.9510000000000001,0.05024121643674668,SAFE
boundary_s10267_c11,10267,11,SAFE,15,0.9411995968970581,0.06060005041518994,SAFE
boundary_s10232_c02,10232,2,SAFE,16,0.939919665060616,0.061960870071704595,SAFE
boundary_s10241_c00,10241,0,SAFE,17,0.9353393333471514,0.06684589216826793,SAFE
boundary_s10227_c07,10227,7,SAFE,18,0.9328496969106667,0.06951118767100861,SAFE
boundary_s10277_c07,10277,7,SAFE,19,0.931163531511136,0.0713203656679668,SAFE
boundary_s10203_c06,10203,6,SAFE,20,0.9219916014262137,0.08121916454922887,SAFE
boundary_s10295_c10,10295,10,SAFE,21,0.9181198880352383,0.08542729990041391,SAFE
boundary_s10228_c05,10228,5,SAFE,22,0.9141915386505142,0.08971516859602549,SAFE
boundary_s10214_c11,10214,11,SAFE,23,0.9117386789589226,0.09240186619640607,SAFE
boundary_s10207_c10,10207,10,SAFE,24,0.9099911245219596,0.09432043279137664,SAFE
boundary_s10248_c08,10248,8,SAFE,25,0.9089479932463572,0.09546739959171502,SAFE
boundary_s10233_c07,10233,7,SAFE,26,0.9051245894597363,0.0996826768462574,SAFE
boundary_s10281_c02,10281,2,SAFE,27,0.9000000000000001,0.10536051565782616,SAFE
boundary_s10276_c08,10276,8,SAFE,28,0.8984041424330198,0.10713526466802199,SAFE
boundary_s10223_c03,10223,3,SAFE,29,0.8918187875053627,0.11449232006139168,SAFE
boundary_s10218_c11,10218,11,SAFE,30,0.8910368879402079,0.1153694517620153,SAFE
boundary_s10290_c09,10290,9,SAFE,31,0.8896830005564736,0.11689005885284068,SAFE
boundary_s10291_c04,10291,4,SAFE,32,0.887,0.11991029667255755,SAFE
boundary_s10277_c01,10277,1,SAFE,33,0.8867295349821143,0.12021526427291349,SAFE
boundary_s10213_c00,10213,0,SAFE,34,0.8858542181622446,0.12120288123540077,SAFE
boundary_s10292_c00,10292,0,SAFE,35,0.8827269205795533,0.12473938942672164,SAFE
boundary_s10243_c07,10243,7,SAFE,36,0.8785839180245333,0.12944385170024786,SAFE
boundary_s10219_c03,10219,3,SAFE,37,0.8776061218620004,0.1305573943594844,SAFE
boundary_s10229_c09,10229,9,SAFE,38,0.877046475439027,0.13119529435497254,SAFE
boundary_s10288_c00,10288,0,SAFE,39,0.8748620984386469,0.13368900682939236,SAFE
boundary_s10237_c06,10237,6,SAFE,40,0.8727941265767868,0.1360555738892334,SAFE
boundary_s10258_c01,10258,1,SAFE,41,0.869193745893578,0.1401892258701363,SAFE
boundary_s10220_c04,10220,4,SAFE,42,0.8589787997494086,0.15201103745446887,SAFE
boundary_s10259_c09,10259,9,SAFE,43,0.857243462043125,0.1540333143312118,SAFE
boundary_s10289_c01,10289,1,SAFE,44,0.856820725402446,0.15452657082924293,SAFE
boundary_s10269_c10,10269,10,SAFE,45,0.8548123961686589,0.15687325380717707,SAFE
boundary_s10226_c06,10226,6,SAFE,46,0.8544276349128249,0.15732346706609485,SAFE
boundary_s10201_c11,10201,11,SAFE,47,0.8537017507174783,0.15817338422711189,SAFE
boundary_s10267_c03,10267,3,SAFE,48,0.8533744695951349,0.15855682478173863,SAFE
boundary_s10262_c10,10262,10,SAFE,49,0.8509346857330881,0.16141990337406942,SAFE
boundary_s10260_c08,10260,8,SAFE,50,0.8444301094241148,0.16909330586999186,SAFE
boundary_s10209_c08,10209,8,SAFE,51,0.8434077193963017,0.17030478500074803,SAFE
boundary_s10212_c11,10212,11,SAFE,52,0.8344151836178163,0.181024178411982,SAFE
boundary_s10236_c09,10236,9,SAFE,53,0.8321088363330408,0.18379203381590042,SAFE
boundary_s10223_c10,10223,10,SAFE,54,0.8300000000000001,0.18632957819149337,SAFE
boundary_s10255_c10,10255,10,SAFE,55,0.8296641133107154,0.1867343428558331,SAFE
boundary_s10243_c02,10243,2,SAFE,56,0.825,0.19237189264745613,SAFE
boundary_s10263_c11,10263,11,SAFE,57,0.8240000000000001,0.19358474907266526,SAFE
boundary_s10235_c01,10235,1,SAFE,58,0.8228117792601809,0.19502780523850102,SAFE
boundary_s10204_c06,10204,6,SAFE,59,0.8220765241084512,0.19592179323658307,SAFE
boundary_s10257_c06,10257,6,SAFE,60,0.8207378737055429,0.19755149736015346,SAFE
boundary_s10270_c03,10270,3,SAFE,61,0.8190599889972445,0.1995979511725895,SAFE
boundary_s10293_c02,10293,2,SAFE,62,0.8177151152023955,0.20124127296316624,SAFE
