noise_regime,margin_low,margin_high,trial_count,binary_accuracy,false_safe_rate
low,0.0,0.25,545,0.8128440366972477,0.0
low,0.25,0.5,227,0.9074889867841409,0.0
low,0.5,0.75,195,0.9538461538461539,0.0
low,0.75,1.0,250,0.968,0.0
low,1.0,inf,143,0.8601398601398601,0.0
nominal,0.0,0.25,541,0.8317929759704251,0.0018484288354898336
nominal,0.25,0.5,233,0.9055793991416309,0.0
nominal,0.5,0.75,190,0.9368421052631579,0.0
nominal,0.75,1.0,260,0.9653846153846154,0.0
nominal,1.0,inf,136,0.8602941176470589,0.0
high,0.0,0.25,544,0.8345588235294118,0.003676470588235294
high,0.25,0.5,230,0.9130434782608695,0.0
high,0.5,0.75,209,0.9330143540669856,0.0
high,0.75,1.0,255,0.9725490196078431,0.0
high,1.0,inf,122,0.8524590163934426,0.0
