time_s,desired_force_n,contact_force_n,uav_x_m,uav_y_m,uav_z_m,target_x_m,target_v_mps,target_a_mps2,roll_rad,pitch_rad,yaw_rad,omega1,omega2,omega3,omega4
0,0,0,-0.3,0,1,0,0,0,0,-0,0,439.945795106146,439.945795106146,439.945795106146,439.945795106146
0.001,0.00157314992578518,0,-0.3,0,1,0,0,0,0,-0,0,439.945795106146,439.945795106146,439.945795106146,439.945795106146
0.002,0.00315099657414453,0,-0.3,0,1,0,0,0,-2.47275529655583e-28,4.02270865532671e-11,-3.88383138780959e-17,439.94489237804,439.945795106146,439.946697777754,439.945795106146
0.003,0.00473352402093059,0,-0.299999999999999,-4.51400506911661e-32,0.999999999999999,0,0,0,-4.12658935177609e-26,3.59518506325582e-10,-4.17519890714685e-16,439.943113944822,439.945795106145,439.948475986212,439.945795106145
0.004,0.00632071605906113,0,-0.299999999999995,-2.13465183561152e-30,0.999999999999994,0,0,0,-8.56449645690751e-25,1.42891310431693e-09,-2.07898811802307e-15,439.940486305954,439.945795106143,439.951103123164,439.945795106143
0.005,0.00791255619658125,0,-0.299999999999975,-3.45848583108361e-29,0.999999999999981,0,0,0,-8.06702092204014e-24,3.94460973333053e-09,-6.97565748850806e-15,439.937035445981,439.945795106135,439.954553098159,439.945795106135
0.006,0.0095090276547265,0,-0.299999999999914,-3.11317681934678e-28,0.999999999999951,0,0,0,-4.79110144891158e-23,8.82106260410821e-09,-1.83879556362488e-14,439.932786843009,439.945795106118,439.958800330255,439.945795106118
0.007,0.0111101133659872,0,-0.299999999999765,-1.91929517243389e-27,0.99999999999989,0,0,0,-2.0981677623124e-22,1.7184211338884e-08,-4.11974756918104e-14,439.927765477071,439.945795106092,439.963819739751,439.945795106092
0.008,0.0127157959721741,0,-0.299999999999442,-9.06740584293106e-27,0.99999999999978,0,0,0,-7.3988635721141e-22,3.03648435226558e-08,-8.21181424837451e-14,439.921995838363,439.945795106058,439.969586740027,439.945795106058
0.009,0.0143260578224855,0,-0.299999999998817,-3.51390711601188e-26,0.999999999999598,0,0,0,-2.21882526449103e-21,4.98920875776459e-08,-1.49888604852793e-13,439.915501935364,439.945795106031,439.976077229494,439.945795106031
0.01,0.0159408809715763,0,-0.299999999997696,-1.16802358639715e-25,0.999999999999316,0,0,0,-5.86745068215204e-21,7.74870338172835e-08,-2.55428886711851e-13,439.908307302842,439.945795106036,439.983267583663,439.945795106036
0.011,0.017560247177628,0,-0.299999999995807,-3.43490675788224e-25,0.999999999998896,0,0,0,-1.40321522704919e-20,1.1505648156645e-07,-4.11964155528811e-13,439.900435009731,439.945795106122,439.991134647313,439.945795106122
0.012,0.0191841379004222,0,-0.29999999999278,-9.13920407547247e-25,0.999999999998298,0,0,0,-3.09111887922563e-20,1.64686810264805e-07,-6.35118302941194e-13,439.89190766691,439.945795106362,439.999655726782,439.945795106362
0.013,0.0208125342994143,0,-0.299999999988126,-2.23406912015386e-24,0.999999999997473,0,0,0,-6.55043657174781e-20,2.28637972499741e-07,-9.42979876338741e-13,439.882747434851,439.945795106864,440.008808582349,439.945795106864
0.014,0.0224454172318113,0,-0.299999999981216,-5.07868031968795e-24,0.999999999996366,0,0,0,-1.27289815506327e-19,3.0933760694489e-07,-1.35614274988636e-12,439.872976031167,439.945795107779,440.018571420736,439.945795107779
0.015,0.0240827672506506,0,-0.299999999971257,-1.08729921668531e-23,0.999999999994915,0,0,0,-2.3895358937808e-19,4.09375269209073e-07,-1.89772378224285e-12,439.862614738041,439.945795109307,440.028922887709,439.945795109307
0.016,0.0257245646028824,0,-0.299999999957266,-2.20729210380067e-23,0.999999999993051,0,0,0,-4.33075800039141e-19,5.31496778629264e-07,-2.59335957252287e-12,439.851684409555,439.94579511171,440.039842060783,439.94579511171
0.017,0.0273707892274544,0,-0.299999999938041,-4.27485932771207e-23,0.9999999999907,0,0,0,-7.46257199937576e-19,6.78598679069409e-07,-3.47118429852118e-12,439.8402054789,439.945795115316,440.051308442028,439.945795115316
0.018,0.0290214207533994,0,-0.299999999912139,-7.95207205084511e-23,0.999999999987779,0,0,0,-1.23693154113825e-18,8.53722811814944e-07,-4.56179049760072e-12,439.828197965487,439.945795120536,440.063301950984,439.945795120536
0.019,0.0306764384979261,0,-0.29999999987784,-1.4280916507271e-22,0.999999999984199,0,0,0,-1.98674966404441e-18,1.06005099868042e-06,-5.89817453579677e-12,439.815681481951,439.945795127867,440.075802917669,439.945795127867
0.02,0.0323358214645137,0,-0.299999999833116,-2.48569566039295e-22,0.999999999979868,0,0,0,-3.10858641711461e-18,1.30089983347495e-06,-7.51566839916291e-12,439.802675241049,439.945795137909,440.088792075689,439.945795137909
0.021,0.0339995483410087,0,-0.299999999775604,-4.20619438644049e-22,0.999999999974684,0,0,0,-4.75486669033249e-18,1.57971557999719e-06,-9.45185933698497e-12,439.789198062461,439.945795151372,440.102250555444,439.945795151373
0.022,0.0356675974977266,0,-0.299999999702567,-6.93686527836201e-22,0.999999999968541,0,0,0,-7.13074846128257e-18,1.9000691747579e-06,-1.1746498786696e-11,439.775268379481,439.945795169088,440.116159877434,439.945795169089
