case_index,damping_n_s_per_m,effective_mass_kg,reduced_order_boundary_severity,seed,stiffness_n_per_m,stratum,trial_id
0,4.74157188011556,0.1257169331260303,,14101,1761.0839052699182,broad,exp0009_broad_s14101_c00
1,18.745061044578048,0.501497970252474,,14101,276.9003023325681,broad,exp0009_broad_s14101_c01
2,1.219468585597073,0.30711117311699226,,14101,319.65795210378064,broad,exp0009_broad_s14101_c02
3,3.7591909652091453,5.2680028369803304,,14101,138.93679951570007,broad,exp0009_broad_s14101_c03
4,2.8047086767121985,1.6793721075633077,,14101,2365.178252447432,broad,exp0009_broad_s14101_c04
5,1.864692315277412,1.26200851333251,,14101,1419.3558575701143,broad,exp0009_broad_s14101_c05
6,25.30281754927823,2.7064613353358955,,14101,773.2108405225993,broad,exp0009_broad_s14101_c06
7,0.3305948324420527,5.030752396480349,,14101,153.09390224464212,broad,exp0009_broad_s14101_c07
8,6.867410151295683,0.8030032351200705,,14101,1140.3619463026785,broad,exp0009_broad_s14101_c08
9,34.65573569616733,3.2114752194310814,,14101,113.3993310840195,broad,exp0009_broad_s14101_c09
10,25.957482034502053,4.0451448685082285,,14101,501.58073424959315,broad,exp0009_broad_s14101_c10
11,1.344755894497587,0.5172064668520209,,14101,1543.5343375778857,broad,exp0009_broad_s14101_c11
12,39.654677593350776,0.2232622671277696,,14101,179.01577918685953,broad,exp0009_broad_s14101_c12
13,0.8868104650336007,0.9840763202078575,,14101,353.84178517471935,broad,exp0009_broad_s14101_c13
14,0.6878169481416998,2.222790794665806,,14101,666.8842046258924,broad,exp0009_broad_s14101_c14
15,9.26328694546526,0.10421706421072761,,14101,1973.0470263777013,broad,exp0009_broad_s14101_c15
16,13.499788517471849,0.37233198304232495,,14101,123.14688659951864,broad,exp0009_broad_s14101_c16
17,0.7984876333818433,0.1869115943463292,,14101,853.5015918076504,broad,exp0009_broad_s14101_c17
18,0.45721418950003573,0.23761067255607093,,14101,224.2199372350196,broad,exp0009_broad_s14101_c18
19,0.4632248633479216,1.3855598601482872,,14101,87.09613998296253,broad,exp0009_broad_s14101_c19
20,2.2698617963506287,0.13935049356580026,,14101,418.34006209539245,broad,exp0009_broad_s14101_c20
21,4.049848286825396,2.5549330165537127,,14101,230.40853167279894,broad,exp0009_broad_s14101_c21
22,8.868113852376647,1.0561015057712988,,14101,607.539822263809,broad,exp0009_broad_s14101_c22
23,56.44629755535298,0.32000096376917003,,14101,979.8358128054117,broad,exp0009_broad_s14101_c23
24,16.257408015641854,0.7074520671667234,,14101,84.58535999071874,broad,exp0009_broad_s14101_c24
0,41.17694048688859,0.12209660562522763,,14102,641.1486405054875,broad,exp0009_broad_s14102_c00
1,0.47244726776948615,3.018850746243036,,14102,1582.9537375865455,broad,exp0009_broad_s14102_c01
2,21.967007684885058,1.0188158531846516,,14102,525.3600730279661,broad,exp0009_broad_s14102_c02
3,10.406529123793401,2.5119749343156914,,14102,2386.6414220301103,broad,exp0009_broad_s14102_c03
4,0.45036937144013006,0.11474210806381326,,14102,1786.4734839079567,broad,exp0009_broad_s14102_c04
5,0.5903356644240146,0.34139782160787796,,14102,1411.6165274523796,broad,exp0009_broad_s14102_c05
6,15.262485148016404,0.5050702102345122,,14102,412.30227381741236,broad,exp0009_broad_s14102_c06
7,2.151718720746325,1.2080574032955627,,14102,790.5706285389783,broad,exp0009_broad_s14102_c07
8,1.6598557430910117,0.14417608988523042,,14102,325.3807761328955,broad,exp0009_broad_s14102_c08
9,0.36747512478383604,0.23371037852081383,,14102,241.17835302098555,broad,exp0009_broad_s14102_c09
10,33.05089026690312,1.9210669379668575,,14102,125.25809551814596,broad,exp0009_broad_s14102_c10
11,0.925861724892396,0.21508764289099067,,14102,1930.3372056526096,broad,exp0009_broad_s14102_c11
12,4.494041930602226,1.8194852741732512,,14102,172.40617412765172,broad,exp0009_broad_s14102_c12
13,0.7519467925628913,0.16624322840706882,,14102,1182.7740305882917,broad,exp0009_broad_s14102_c13
14,1.2173874032452645,4.521578088888935,,14102,175.89718304768928,broad,exp0009_broad_s14102_c14
15,8.46373624280907,0.793350924030297,,14102,365.7171595979731,broad,exp0009_broad_s14102_c15
16,54.61098604594495,3.8787605391815982,,14102,1071.6179519951047,broad,exp0009_broad_s14102_c16
17,5.525744030853691,0.27451249225229307,,14102,889.8589473952624,broad,exp0009_broad_s14102_c17
18,11.25973341598767,3.5752813539387414,,14102,203.8312749875063,broad,exp0009_broad_s14102_c18
19,1.3445637483494137,0.618454616037131,,14102,272.6505129498788,broad,exp0009_broad_s14102_c19
20,20.260488815103756,0.39538717568870846,,14102,98.47698239054606,broad,exp0009_broad_s14102_c20
21,30.675369332264548,0.5983359254321459,,14102,99.86968976097765,broad,exp0009_broad_s14102_c21
22,3.2484419843866372,0.8627525790131336,,14102,561.7615143600959,broad,exp0009_broad_s14102_c22
23,6.988281941599784,1.4596862308028105,,14102,85.18565949429508,broad,exp0009_broad_s14102_c23
