time_s,phase,total_contact_reference_n,commanded_normal_force_n,realized_contact_force_n,contact_active,desired_tip_coordinate_m,target_displacement_m,target_velocity_m_per_s,vehicle_position_x_m,vehicle_pitch_rad
0.0,APPROACH,0.0,0.0,0.0,0,-0.001999,0.0,0.0,-0.302,-0.0
0.001,APPROACH,0.0,0.0,0.0,0,-0.0019979999999999998,0.0,0.0,-0.302,1.2404299808772657e-09
0.002,APPROACH,0.0,0.0,0.0,0,-0.0019969999999999996,0.0,0.0,-0.3019999999999818,9.842239372755981e-09
0.003,APPROACH,0.0,0.0,0.0,0,-0.0019959999999999995,0.0,0.0,-0.3019999999998551,3.294527397710479e-08
0.004,APPROACH,0.0,0.0,0.0,0,-0.0019949999999999994,0.0,0.0,-0.3019999999993878,7.745024030825985e-08
0.005,APPROACH,0.0,0.0,0.0,0,-0.0019939999999999992,0.0,0.0,-0.30199999999813804,1.5002085851145644e-07
0.006,APPROACH,0.0,0.0,0.0,0,-0.001992999999999999,0.0,0.0,-0.3019999999953888,2.5708606937842855e-07
0.007,APPROACH,0.0,0.0,0.0,0,-0.001991999999999999,0.0,0.0,-0.30199999999008514,4.0484229361340037e-07
0.008,APPROACH,0.0,0.0,0.0,0,-0.001990999999999999,0.0,0.0,-0.30199999998077315,5.992557415175649e-07
0.009000000000000001,APPROACH,0.0,0.0,0.0,0,-0.0019899999999999987,0.0,0.0,-0.3019999999655416,8.460647712758876e-07
0.01,APPROACH,0.0,0.0,0.0,0,-0.0019889999999999986,0.0,0.0,-0.30199999994196564,1.1507822940460655e-06
0.011,APPROACH,0.0,0.0,0.0,0,-0.0019879999999999984,0.0,0.0,-0.3019999999070527,1.518698224065756e-06
0.012,APPROACH,0.0,0.0,0.0,0,-0.0019869999999999983,0.0,0.0,-0.3019999998571905,1.954881972010772e-06
0.013000000000000001,APPROACH,0.0,0.0,0.0,0,-0.001985999999999998,0.0,0.0,-0.3019999997880977,2.464184979853885e-06
0.014,APPROACH,0.0,0.0,0.0,0,-0.001984999999999998,0.0,0.0,-0.301999999694776,3.0512432954909976e-06
0.015,APPROACH,0.0,0.0,0.0,0,-0.001983999999999998,0.0,0.0,-0.30199999957146456,3.720480185418883e-06
0.016,APPROACH,0.0,0.0,0.0,0,-0.001982999999999998,0.0,0.0,-0.3019999994115971,4.476108783766391e-06
0.017,APPROACH,0.0,0.0,0.0,0,-0.0019819999999999977,0.0,0.0,-0.3019999992077601,5.322134775998955e-06
0.018000000000000002,APPROACH,0.0,0.0,0.0,0,-0.0019809999999999975,0.0,0.0,-0.3019999989516538,6.262359115634392e-06
0.019,APPROACH,0.0,0.0,0.0,0,-0.0019799999999999974,0.0,0.0,-0.3019999986340548,7.300380772326387e-06
0.02,APPROACH,0.0,0.0,0.0,0,-0.0019789999999999973,0.0,0.0,-0.3019999982447808,8.4395995096907e-06
0.021,APPROACH,0.0,0.0,0.0,0,-0.001977999999999997,0.0,0.0,-0.3019999977726573,9.683218691267947e-06
0.022,APPROACH,0.0,0.0,0.0,0,-0.001976999999999997,0.0,0.0,-0.3019999972054861,1.1034248113035798e-05
0.023,APPROACH,0.0,0.0,0.0,0,-0.001975999999999997,0.0,0.0,-0.3019999965300158,1.2495506860902736e-05
0.024,APPROACH,0.0,0.0,0.0,0,-0.0019749999999999967,0.0,0.0,-0.3019999957319142,1.4069626191634832e-05
0.025,APPROACH,0.0,0.0,0.0,0,-0.0019739999999999966,0.0,0.0,-0.3019999947957425,1.575905243568659e-05
0.026000000000000002,APPROACH,0.0,0.0,0.0,0,-0.0019729999999999965,0.0,0.0,-0.30199999370493125,1.7566049920426724e-05
0.027,APPROACH,0.0,0.0,0.0,0,-0.0019719999999999963,0.0,0.0,-0.3019999924417581,1.949270391226947e-05
